S.No,Registration Number,SSLC Percentage,HSC Percentage,UG Percentage,Diploma Percentage,Current CGPA,1st Semester Percentage,2nd Semester Percentage,3rd Semester Percentage,4th Semester Percentage,5th Semester Percentage,6th Semester Percentage,7th Semester Percentage,8th Semester Percentage,History Of Arrears,Standing Arrears,Placed
1,1.12E+11,82.5,85.66000366,0,0,7.210000038,7.840000153,6.130000114,7.260000229,6.690000057,7.570000172,8.340000153,0,0,0,0,1
2,1.12E+11,95,96.16000366,0,92.29000092,7.730000019,8.5,6.960000038,7.820000172,7.610000134,8.18999958,7.769999981,0,0,0,0,1
3,1.12E+11,92,83.19999695,0,0,8.479999542,8.609999657,8.210000038,8.739999771,8.149999619,8.479999542,9.029999733,0,0,0,0,1
4,1.12E+11,89.90000153,95.58000183,0,0,8.899999619,8.720000267,8.390000343,9.180000305,9.140000343,8.960000038,9.079999924,8.770000458,0,0,0,0
5,1.12E+11,84.09999847,82.90000153,0,0,8.039999962,7.78000021,8.229999542,8.479999542,7.840000153,8.079999924,8,0,0,0,0,1
6,1.12E+11,87.40000153,89.16000366,0,0,7.349999905,7.920000076,7.360000134,7,6.730000019,7,8.119999886,0,0,0,0,1
7,1.12E+11,87.40000153,93.91000366,0,0,8.020000458,8.220000267,7.880000114,8.430000305,7.880000114,8.069999695,8.079999924,0,0,0,0,1
8,1.12E+11,80,93.75,0,0,7.269999981,8.029999733,7,7.03000021,6.050000191,7.53000021,8.029999733,7.400000095,8.5,0,0,1
9,1.12E+11,93.40000153,94.25,0,0,8.640000343,9.300000191,8.890000343,8.729999542,8.140000343,8.630000114,8.569999695,0,0,0,0,1
10,1.12E+11,87.09999847,90.69999695,0,0,6.349999905,7.150000095,6.070000172,6.110000134,6.070000172,6.489999771,6.119999886,0,0,0,0,1
11,1.12E+11,81,79.16000366,0,0,6.730000019,6.730000019,6.210000038,7.400000095,6.650000095,7.03000021,7.260000229,0,0,0,1,0
12,1.12E+11,92.40000153,94.75,0,0,8.430000305,9.180000305,8.180000305,8.890000343,8.270000458,8.260000229,8.470000267,0,0,0,0,1
13,1.12E+11,76.80000305,86.25,0,0,6.579999924,7.460000038,6.920000076,6.369999886,6.190000057,6.480000019,6.539999962,0,0,0,1,1
14,1.12E+11,92.09999847,92.91000366,0,0,8.289999962,8.640000343,8.140000343,8.670000076,8.270000458,7.929999828,8.340000153,0,0,0,0,1
15,1.12E+11,91,78.75,0,0,7.21999979,7.690000057,6.960000038,6.920000076,6.760000229,7.21999979,7.920000076,0,0,0,0,1
16,1.12E+11,90.09999847,92.08000183,0,0,8.100000381,8.81000042,8.300000191,8.220000267,7.900000095,7.880000114,8.380000114,0,0,0,0,1
17,1.12E+11,89.80000305,96.19999695,0,0,8.930000305,9.109999657,8.930000305,9.140000343,9.180000305,8.779999733,8.579999924,0,0,0,0,0
18,1.12E+11,89.5,96.40000153,0,0,8.729999542,8.609999657,8.680000305,9.470000267,8.380000114,8.770000458,8.579999924,0,0,0,0,1
